PREVC Peter 98.4 237.0 164.4 19.5 19.5 19.0 18.5 19.0 57.5 05 27.5 0.39 -5.6 243.8 1.
PREVC Peter 101.8 249.0 178.8 15.0 12.5 14.0 13.5 11.0 40.0 11 0 -0.37 6.4 225.2 4.
KRAFT Stefan 98.5 238.0 165.6 19.5 19.5 19.5 19.0 19.0 58.0 05 27.5 0.59 -8.5 242.6 2.
KRAFT Stefan 101.7 231.0 157.2 19.0 19.5 19.5 19.5 19.5 58.5 11 0 -0.19 3.3 219.0 7.
STJERNEN Andreas 99.9 249.0 178.8 17.5 17.5 17.5 17.0 17.0 52.0 06 20.7 0.89 -12.8 238.7 3.
STJERNEN Andreas 102.7 231.0 157.2 19.0 19.0 19.5 19.0 19.0 57.0 11 0 -0.39 6.8 221.0 6.
FREUND Severin 98.7 236.5 163.8 18.5 19.0 18.5 18.5 18.5 55.5 05 27.5 0.68 -9.8 237.0 4.
FREUND Severin 101.8 226.5 151.8 19.0 19.0 19.0 19.5 19.5 57.5 11 0 -0.47 8.2 217.5 8.
TANDE Daniel.Andre 99.4 229.5 155.4 18.5 18.5 19.0 19.0 19.0 56.5 06 20.7 0.76 -10.9 221.7 7.
TANDE Daniel.Andre 102.0 242.0 170.4 18.5 18.5 18.0 18.5 18.0 55.0 11 0 -0.41 7.1 232.5 1.
GANGNES Kenneth 99.4 219.0 142.8 18.5 18.5 18.5 18.0 18.5 55.5 05 27.5 0.43 -6.2 219.6 8.
GANGNES Kenneth 103.2 248.5 178.2 16.5 16.5 16.0 16.5 16.5 49.5 12 -6.9 -0.42 7.3 228.1 3.
FORFANG Johann.Andre 98.5 214.0 136.8 19.0 18.5 18.0 18.0 18.5 55.0 05 27.5 0.36 -5.2 214.1 9.
FORFANG Johann.Andre 102.2 243.5 172.2 17.0 17.5 17.5 17.5 17.5 52.5 12 -6.9 -0.65 11.3 229.1 2.
FANNEMEL Anders 99.2 239.5 167.4 19.5 20.0 19.5 18.5 19.0 58.0 07 13.8 0.82 -11.8 227.4 5.
FANNEMEL Anders 101.4 216.0 139.2 19.0 18.5 18.5 18.5 19.0 56.0 11 0 -0.66 11.5 206.7 11.
HAYBOECK Michael 98.9 224.0 148.8 19.0 18.5 18.5 18.5 18.0 55.5 05 27.5 0.64 -9.2 222.6 6.
HAYBOECK Michael 102.1 217.5 141.0 18.5 19.0 18.5 18.5 18.5 55.5 11 0 -0.58 10.1 206.6 12.
KASAI Noriaki 97.8 199.0 118.8 17.5 18.0 18.0 17.0 18.0 53.5 05 27.5 0.45 -6.5 193.3 21.
KASAI Noriaki 101.6 237.5 165.0 19.0 18.5 19.0 19.5 19.0 57.0 12 -6.9 -0.38 6.6 221.7 5.
TAKEUCHI Taku 98.9 215.5 138.6 18.5 19.0 18.5 18.5 18.5 55.5 07 13.8 0.51 -7.3 200.6 17.
TAKEUCHI Taku 101.8 228.0 153.6 18.5 19.0 19.0 19.0 18.5 56.5 12 -6.9 -0.39 6.8 210.0 9.
ZYLA Piotr 98.9 216.0 139.2 18.5 18.5 18.5 18.0 18.5 55.5 07 13.8 0.68 -9.8 198.7 18.
ZYLA Piotr 101.6 228.0 153.6 19.0 19.0 18.5 19.0 19.0 57.0 12 -6.9 -0.36 6.3 210.0 9.
AMMANN Simon 99.3 231.5 157.8 16.5 17.0 16.5 17.0 17.0 50.5 07 13.8 0.93 -13.4 208.7 11.
AMMANN Simon 102.2 222.0 146.4 16.5 17.5 17.0 17.5 17.0 51.5 12 -6.9 -0.44 7.7 198.7 13.
TEPES Jurij 99.7 225.5 150.6 19.0 19.5 19.5 19.0 19.0 57.5 07 13.8 0.85 -12.2 209.7 10.
TEPES Jurij 102.3 214.5 137.4 18.5 19.0 18.5 19.0 19.0 56.5 12 -6.9 -0.59 10.3 197.3 15.
EISENBICHLER Markus 98.9 225.5 150.6 19.0 18.5 19.0 18.5 18.5 56.0 07 13.8 1.15 -16.6 203.8 14.
