TANDE Daniel.Andre 100.2 226.0 151.2 18.5 18.0 18.0 18.5 18.0 54.5 15 0 0.81 -11.7 194.0 3
TANDE Daniel.Andre 103.2 185.0 102.0 17.0 16.5 16.5 16.5 17.0 50.0 20 -27.5 -1.50 26.1 150.6 4
JOHANSSON Robert 100.1 252.0 182.4 16.0 15.5 15.5 16.0 16.5 47.5 15 0 1.11 -16.0 213.9 1
JOHANSSON Robert 104.1 238.0 165.6 19.0 18.0 18.0 18.5 18.5 55.0 22 -41.3 -1.01 17.6 196.9 1
FORFANG Johann.Andre 98.8 220.0 144.0 18.5 18.5 18.0 18.5 18.5 55.5 14 6.9 0.24 -3.5 202.9 4
FORFANG Johann.Andre 103.5 234.0 160.8 19.0 19.0 18.5 19.5 19.5 57.5 23 -48.2 -1.10 19.2 189.3 2
STJERNEN Andreas 99.7 227.5 153.0 18.5 18.5 18.0 19.0 18.5 55.5 14 6.9 0.56 -8.1 207.3 4
STJERNEN Andreas 100.7 242.0 170.4 16.5 16.5 16.0 16.0 16.0 48.5 16 0 0.08 -1.2 217.7 3
ZYLA Piotr 98.4 245.5 174.6 16.0 16.0 15.5 16.0 16.0 48.0 15 0 1.58 -22.8 199.8 2
ZYLA Piotr 101.6 192.0 110.4 17.5 17.5 17.0 17.5 17.0 52.0 20 -27.5 -1.46 25.4 160.3 3
KUBACKI Dawid 98.9 210.0 132.0 18.5 18.0 18.0 18.0 18.0 54.0 13 13.8 1.33 -19.2 180.6 3
KUBACKI Dawid 104.1 194.5 113.4 17.5 17.5 17.5 17.5 17.5 52.5 22 -41.3 -1.57 27.4 152.0 4
KOT Maciej 99.5 244.5 173.4 16.5 16.0 16.5 16.5 17.5 49.5 14 6.9 1.16 -16.7 213.1 2
KOT Maciej 104.2 238.5 166.2 18.0 19.0 19.0 18.5 19.0 56.5 23 -48.2 -0.93 16.2 190.7 1
STOCH Kamil 98.8 230.0 156.0 19.0 19.0 18.5 19.5 19.0 57.0 13 13.8 0.19 -2.7 224.1 2
STOCH Kamil 101.7 243.0 171.6 18.5 18.5 17.5 18.0 18.5 55.0 18 -13.8 -0.30 5.2 218.0 2
HAYBOECK Michael 99.5 239.0 166.8 19.0 19.0 18.5 18.5 18.5 56.0 15 0 1.28 -18.4 204.4 1
HAYBOECK Michael 103.2 202.5 123.0 18.0 18.0 18.0 18.0 18.0 54.0 20 -27.5 -1.36 23.7 173.2 1
FETTNER Manuel 99.2 229.5 155.4 19.0 18.5 18.5 18.0 18.5 55.5 13 13.8 0.94 -13.5 211.2 2
FETTNER Manuel 103.9 188.0 105.6 17.5 17.0 16.5 16.5 17.0 50.5 22 -41.3 -1.08 18.8 133.6 5
SCHLIERENZAUER Gregor 98.9 175.0 90.0 17.0 17.0 17.0 17.0 17.5 51.0 14 6.9 1.04 -15.0 132.9 7
SCHLIERENZAUER Gregor 104.1 212.5 135.0 18.5 18.5 17.5 18.5 18.5 55.5 23 -48.2 -0.94 16.4 158.7 5
KRAFT Stefan 99.6 253.5 184.2 16.5 16.0 15.5 12.0 16.0 47.5 14 6.9 0.56 -8.1 230.5 1
KRAFT Stefan 101.7 244.0 172.8 18.0 18.0 17.5 17.5 18.5 53.5 18 -13.8 -0.48 8.4 220.9 1
LANISEK Anze 99.1 120.0 24.0 15.5 15.5 15.0 14.5 15.5 46.0 15 0 -0.78 13.6 83.6 9
LANISEK Anze 102.5 202.0 122.4 17.5 18.0 17.0 17.5 17.5 52.5 20 -27.5 -1.41 24.6 172.0 2
TEPES Jurij 99.0 210.0 132.0 18.0 17.5 17.5 18.0 18.0 53.5 15 0 0.67 -9.6 175.9 4
TEPES Jurij 103.7 232.5 159.0 19.0 19.0 19.0 20.0 19.0 57.0 22 -41.3 -1.20 20.9 195.6 2
PREVC Peter 98.5 233.0 159.6 19.0 18.5 18.0 19.0 19.0 56.5 14 6.9 -0.08 1.4 224.4 1
PREVC Peter 103.1 231.0 157.2 19.0 19.5 18.5 19.5 19.0 57.5 23 -48.2 -1.13 19.7 186.2 3
PREVC Domen 98.9 216.5 139.8 18.0 18.0 17.0 17.5 18.5 53.5 14 6.9 0.38 -5.5 194.7 6
PREVC Domen 102.2 226.5 151.8 18.5 18.5 18.0 18.5 19.0 55.5 20 -27.5 -0.68 11.8 191.6 5
GEIGER Karl 98.4 132.0 38.4 13.5 13.5 14.0 14.0 13.5 41.0 15 0 0.53 -7.6 71.8 11
GEIGER Karl 102.2 172.0 86.4 16.5 16.0 16.5 17.5 16.5 49.5 20 -27.5 -1.31 22.8 131.2 5
FREITAG Richard 98.5 205.5 126.6 18.0 18.0 18.0 18.0 18.0 54.0 13 13.8 1.34 -19.3 175.1 5
FREITAG Richard 103.1 210.0 132.0 18.5 18.0 18.0 18.5 18.0 54.5 22 -41.3 -1.20 20.9 166.1 3
